id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
318846,en,The Big Short,25.452,11/12/2015,7.3,6989,"['Comedy', 'Drama']",The men who made millions from a global economic meltdown.,133346506,131,This is a true story.
19913,en,(500) Days of Summer,54.692,17/07/2009,7.3,7945,"['Comedy', 'Drama', 'Romance']","Tom, greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer, suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.",60781545,95,This is not a love story. This is a story about love.
19908,en,Zombieland,89.286,7/10/2009,7.3,9871,"['Comedy', 'Horror']","Columbus has made a habit of running from what scares him. Tallahassee doesn't have fears. If he did, he'd kick their ever-living ass. In a world overrun by zombies, these two are perfectly evolved survivors. But now, they're about to stare down the most terrifying prospect of all: each other.",102391540,88,Nut up or shut up.
18785,en,The Hangover,139.259,2/06/2009,7.3,13819,['Comedy'],"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug â€“ who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.",469310836,100,Some guys just can't handle Vegas.
10860,en,Steel Magnolias,11.79,15/11/1989,7.2,478,"['Comedy', 'Drama', 'Romance']",This heart wrenching drama is about a beauty shop in Louisiana owned by Truvy and the tragedies of all of her clients.,95904091,119,The funniest movie ever to make you cry
10403,en,The Player,10.119,3/04/1992,7.2,530,"['Comedy', 'Crime', 'Thriller', 'Mystery']",A Hollywood studio executive is being sent death threats by a writer whose script he rejected - but which one?,21706101,124,Everything you've heard is true!
407655,en,A Cinderella Story: If the Shoe Fits,37.032,2/08/2016,7.2,723,"['Comedy', 'Family', 'Fantasy', 'Music']",A contemporary musical version of the classic Cinderella story in which the servant step daughter hope to compete in a musical competition for a famous pop star.,0,92,A magical musical treat for the dreamer in all of us.
519035,en,Nappily Ever After,12.302,21/09/2018,7.2,735,"['Comedy', 'Romance']","After an accident at the hair salon, Violet realizes she's not living life to the fullest. A soulful barber helps her put the pieces back together.",0,100,Let yourself grow
11287,en,A League of Their Own,17.42,1/07/1992,7.2,1013,"['Comedy', 'Drama', 'Family']","As America's stock of athletic young men is depleted during World War II, a professional all-female baseball league springs up in the Midwest, funded by publicity-hungry candy maker Walter Harvey. Competitive sisters Dottie Hinson and Kit Keller spar with each other, scout Ernie Capadino and grumpy has-been coach Jimmy Dugan on their way to fame.",132440069,128,"To achieve the incredible, you have to attempt the impossible."
489925,en,Eighth Grade,12.648,19/01/2018,7.2,1104,"['Comedy', 'Drama']",Thirteen-year-old Kayla endures the tidal wave of contemporary suburban adolescence as she makes her way through the last week of middle school â€” the end of her thus far disastrous eighth grade year â€” before she begins high school.,13539709,94,Based on the most awkward year of your life
597219,en,The Half of It,19.226,1/05/2020,7.2,1135,"['Comedy', 'Romance']","Shy, straight-A student Ellie is hired by sweet but inarticulate jock Paul, who needs help wooing the most popular girl in school. But their new and unlikely friendship gets tricky when Ellie discovers she has feelings for the same girl.",0,104,A different kind of love story.
10925,en,The Return of the Living Dead,36.452,25/04/1985,7.2,1176,"['Comedy', 'Horror']","When foreman Frank shows new employee Freddy a secret military experiment in a supply warehouse in Louisville, Kentucky, the two klutzes accidentally release a gas that reanimates corpses into flesh-eating zombies. As the epidemic spreads throughout the town, and the creatures satisfy their hunger in gory and outlandish ways, Frank and Freddy fight to survive with the help of their boss and a mysterious mortician.",14237880,91,They're Back From The Grave and Ready To Party!
15196,en,Clue,11.979,13/12/1985,7.2,1239,"['Comedy', 'Thriller', 'Crime', 'Mystery']","Clue finds six colorful dinner guests gathered at the mansion of their host, Mr. Boddy -- who turns up dead after his secret is exposed: He was blackmailing all of them. With the killer among them, the guests and Boddy's chatty butler must suss out the culprit before the body count rises.",14643997,94,"Seven Suspects, Six Weapons, Five Bodies and Three Endings."
2609,en,"Planes, Trains and Automobiles",14.387,26/11/1987,7.2,1352,['Comedy'],"An irritable marketing executive, Neal Page, is heading home to Chicago for Thanksgiving when a number of delays force him to travel with a well meaning but overbearing shower ring curtain salesman, Del Griffith.",49230280,93,What he really wanted was to spend Thanksgiving with his family. What he got was three days with the turkey.
243,en,High Fidelity,12.384,17/03/2000,7.2,1481,"['Comedy', 'Drama', 'Romance', 'Music']","When record store owner Rob Gordon gets dumped by his girlfriend, Laura, because he hasn't changed since they met, he revisits his top five breakups of all time in an attempt to figure out what went wrong. As Rob seeks out his former lovers to find out why they left, he keeps up his efforts to win Laura back.",47126295,113,"A comedy about fear of commitment, hating your job, falling in love and other pop favorites."
9388,en,Thank You for Smoking,13.886,17/03/2006,7.2,1619,"['Comedy', 'Drama']","Nick Naylor is a charismatic spin-doctor for Big Tobacco who'll fight to protect America's right to smoke -- even if it kills him -- while still remaining a role model for his 12-year old son. When he incurs the wrath of a senator bent on snuffing out cigarettes, Nick's powers of ""filtering the truth"" will be put to the test.",24793509,92,Tobacco lobbyist Nick Naylor is trying to SAVE YOUR ASH!
5825,en,National Lampoon's Christmas Vacation,26.27,30/11/1989,7.2,1659,['Comedy'],"It's Christmastime, and the Griswolds are preparing for a family seasonal celebration. But things never run smoothly for Clark, his wife Ellen, and their two kids. Clark's continual bad luck is worsened by his obnoxious family guests, but he manages to keep going, knowing that his Christmas bonus is due soon.",71319546,97,Yule crack up.
319888,en,Eddie the Eagle,20.601,26/02/2016,7.2,1696,"['Comedy', 'Drama', 'History', 'Adventure']","The feel-good story of Michael 'Eddie' Edwards, an unlikely but courageous British ski-jumper who never stopped believing in himselfâ€”even as an entire nation was counting him out. With the help of a rebellious and charismatic coach, Eddie takes on the establishment and wins the hearts of sports fans around the world by making an improbable and historic showing at the 1988 Calgary Winter Olympics.",46152411,106,"Win or lose, always aim high"
